No.,Latin name (previous version),name change,Genus,species,Genus_species,notes about information,Common Name,Nest shape,Location/Position,Nest Size,Exposure,jpd exposure,jmai exposure,old exposure,nathanvs. old,nathanv.jpd,jpdvs.old,icterus all three,Dichromatic,Total Delta S (Price & Eaton 2014),Egg Incubation,Brooding,Feeding,Sexual Behavior,Misc.,Citations
58,Macroagelaius subalaris,,Macroagelaius,subalaris,Macroagelaius_subalaris,NA- Cadena 2002,Colombian Mountain Grackle,"""loosely woven cup""",trees 15-20m above ground,,1,1,,1,,,,,0,,,,,,No Data,New World Blackbirds
59,Dives atroviolacea,species atroviolaceus,Dives,atroviolaceus,Dives_atroviolaceus,,Cuban Blackbird,"tree cavity, or base of a of a plam frond/fork in a tree",dense foliage,,1,?,,1,,x,x,,0,,,,,,,"New World Blackbirds: Barbour 1943 (behavior), Garcia 19?? (habitat, behavior, nesting), Gundlach 1876 (nesting)"
60,Dives dives,,Dives,dives,Dives_dives,,Melodious Blackbird ,cup,trees or bushes,,1,1,,1,,,,,0,24.3,Female,Female,Both,Monogamous,,"New World Blackbirds: Orians (behavior, nesting), Skutch 1954 (nesting)"
61,Dives warszewiczi,,Dives,warszewiczi,Dives_warszewiczi,"NA- Greeney, Yanayacu Biological Station",Scrub Blackbird,cup,,,1,1,,1,,,,,0,94.4,,,,,,New World Blackbirds
62,Quiscalus mexicanus,,Quiscalus,mexicanus,Quiscalus_mexicanus,,Great-tailed Grackle ,cup,Varies from trees to grasslands to marshes etc.,"""Nests in Colorado had mean inside diameter 11.34 × 11.54 cm, mean outside diameter 19.28 cm, mean depth 9.88 cm""",1,1,,1,,,,,1,279.6,Female,Female,Female,"Social mates, with extra-pair copulation","Female is ""dusky"" brown, male is black with purple sheen","Johnson, Kristine and Brian D. Peer. 2001. Great-tailed Grackle (Quiscalus mexicanus), The Birds of North America Online (A. Poole, Ed.). Ithaca: Cornell Lab of Ornithology; Retrieved from the Birds of North America Online: http://bna.birds.cornell.edu/bna/species/576
doi:10.2173/bna.576"
63,Quiscalus major,,Quiscalus,major,Quiscalus_major,,Boat-tailed Grackle ,cup,Varies from trees to grasslands to marshes etc.,Depends on location of nest,1,1,,1,,,,,1,348.4,Female,Female,Female,harem polgyny,"Female is pale brown, male is a sheeny blue-black.","Post, W., J. P. Poston and G. T. Bancroft. 1996. Boat-tailed Grackle (Quiscalus major), The Birds of North America Online (A. Poole, Ed.). Ithaca: Cornell Lab of Ornithology; Retrieved from the Birds of North America Online: http://bna.birds.cornell.edu/bna/species/207
doi:10.2173/bna.207"
64,Quiscalus palustris,,Quiscalus,palustris,Quiscalus_palustris,NA (extinct),Slender-billed Grackle,Unkown,,,NA,NA,,NA,,,,,1,,,,,,Extinct,New World Blackbirds
65,Quiscalus nicaraguensis,,Quiscalus,nicaraguensis,Quiscalus_nicaraguensis,,Nicaraguan Grackle ,cup,concealed in vegetation,,1,1,,1,,,,,1,266.7,Female,,,"Monogamous, sometime bigamous",colonial,"New World Blackbirds: Stiles and Skutch 1989 (behavior, nesting)"
66,Quiscalus quiscula,,Quiscalus,quiscula,Quiscalus_quiscula,,Common Grackle ,cup,Trees and shrubs,"""Outside diameter ranges from 16.5 to 22 cm, inside diameter 8.5 to 13 cm, outside depth 8 to 22 cm, inside depth 6 to 9 cm; average weight of 4 nests 218 g""",1,1,,1,,,,,1,133.8,Female,Female,Both,"""Typically monogamous, occasionally polygynous""","Male black/dark purplesheen, females less glossy","Peer, Brian D. and Eric K. Bollinger. 1997. Common Grackle (Quiscalus quiscula), The Birds of North America Online (A. Poole, Ed.). Ithaca: Cornell Lab of Ornithology; Retrieved from the Birds of North America Online: http://bna.birds.cornell.edu/bna/species/271
doi:10.2173/bna.271"
67,Quiscalus niger,,Quiscalus,niger,Quiscalus_niger,NA (fixed),Greater Antillean Grackle ,"""bulky structure""","in trees, mangroves",,1,1,,1,,,,,1,48,,,,Monogamous,colonial,"New World Blackbirds: Biaggi 1983 (behavior, nesting), Bond 1988 (nesting), Bradley 1985 (behavior), Garcia 1987 (nesting), J. Wiley pers. comm (nest shape)"
68,Quiscalus lugubris,,Quiscalus,lugubris,Quiscalus_lugubris,"NA- nothing, most likely open though",Carib Grackle ,"""bulky structure""","low bushes or palms, esp over water",,1,1,,1,,,,,1,207.6,Female,Female,Both,Monogamous,colonial,"New World Blackbirds: Belcher and Smooker 1937 (nesting), Bond 1988 (nesting),"
69,Euphagus carolinus,,Euphagus,carolinus,Euphagus_carolinus,,Rusty Blackbird ,cup,"grournd, trees, shrubs",,1,1,,1,,,,,1,104.4,Female,Female,Both,Monogamous (although colonial leads to occasional extra-pair mating),"Males are black with gold speckles, females are rusty/orange-y brown","Avery, Michael L. 2013. Rusty Blackbird (Euphagus carolinus), The Birds of North America Online (A. Poole, Ed.). Ithaca: Cornell Lab of Ornithology; Retrieved from the Birds of North America Online: http://bna.birds.cornell.edu/bna/species/200
doi:10.2173/bna.200"
70,Euphagus cyanocephalus,,Euphagus,cyanocephalus,Euphagus_cyanocephalus,,Brewer's Blackbird ,cup,"ground, trees, shrubs, ","""long axis mean outside diameter 15.2 cm ± 1.9 SD, short axis mean outside diameter 14.8 cm ± 1.5, long axis mean inside diameter 10.1 cm ± 0.8, short axis mean inside diameter 10.3 ± 0.6. Mean inside depth of nest 5.0 cm ± 0.9""",1,1,,1,,,,,1,119.6,Female,Female,Both,Monogamous  ,"males black, femalesdark brown","Martin, Stephen G. 2002. Brewer's Blackbird (Euphagus cyanocephalus), The Birds of North America Online (A. Poole, Ed.). Ithaca: Cornell Lab of Ornithology; Retrieved from the Birds of North America Online: http://bna.birds.cornell.edu/bna/species/616
doi:10.2173/bna.616"
71,Agelaioides badius,,Agelaioides,badius,Agelaioides_badius,NA (probably delete based on comment),Greyish Baywing ,"brood parasite; preferred covered, or will build open cup nest. Later it says it builds a domed nest with one entrance",,,both?,?,,both?,,x,x,,0,37.3,Female ,,,Monogamous,Cooperative Breeders,"New World Blackbirds: Fraga 1983b (nesting), Fraga 1986 (besting), Fraga 1992 (behavior, nesting), Hoy and Ottow 1964 (nesting), "
72,Agelaioides badius fringillarius,,Agelaioides,badius_fringillarius,Agelaioides_badius_fringillarius,sub.spp,,old domed ground nests,,,NA,NA,,NA,,,,,0,,,,,,,
73,Molothrus rufoaxillaris,,Molothrus,rufoaxillaris,Molothrus_rufoaxillaris,,Screaming Cowbird ,brood parasite; preferred covered,Almost exclusively parasitizes Agelaioides badius,,0,0,,0,,,,,0,61.1,,,,Monogamous,Brood Parasite,"New World Blackbirds: Belton 1985 (behavior), Fraga 1979, 1986 (behavior, nesting), Friedmann 1929 (behavior, nesting), Hudson 1920 (nesting), Mason 1980 & 1987 (behavior, nesting), Sick 1993 (nesting)"
74,Scaphidura (Molothrus) oryzivora,"genus molothrus, species oryzivorus",Molothrus,oryzivorus,Molothrus_oryzivorus,,Giant Cowbird ,Brood parasite,,,0,0,,0,,,,,0,98.3,,,,,,New World Blackbirds.
75,Molothrus aeneus,,Molothrus,aeneus,Molothrus_aeneus,,Bronzed Cowbird ,brood parasite,,,0,0,,0,,,,,1,118,NA,,,Seemingly a free-for-all,"Male is black with blue on back/tail, female is a dull/brown black","Ellison, Kevin and Peter E. Lowther. 2009. Bronzed Cowbird (Molothrus aeneus), The Birds of North America Online (A. Poole, Ed.). Ithaca: Cornell Lab of Ornithology; Retrieved from the Birds of North America Online: http://bna.birds.cornell.edu/bna/species/144
doi:10.2173/bna.144"
76,Molothrus armenti,,Molothrus,armenti,Molothrus_armenti,NA,Bronze-brown Cowbird ,NA (assumed to be brood parasite),,,0,NA,,0,,x,x,,1,,,,,,,New World Blackbirds.
77,Molothrus ater,,Molothrus,ater,Molothrus_ater,,Brown-headed Cowbird ,brood parasite,,,0,0,,0,,,,,1,140.3,NA,,,Monogamous and promiscous populations,"Male is dark brown with a lighter brown head, female is tan-brown","Lowther, Peter E. 1993. Brown-headed Cowbird (Molothrus ater), The Birds of North America Online (A. Poole, Ed.). Ithaca: Cornell Lab of Ornithology; Retrieved from the Birds of North America Online: http://bna.birds.cornell.edu/bna/species/047
doi:10.2173/bna.47"
78,Molothrus bonariensis,,Molothrus,bonariensis,Molothrus_bonariensis,,Shiny Cowbird ,brood parasite,,,0,0,,0,,,,,1,334.7,NA,,,Varies,"Male is purple-black, female is gray-brown","Lowther, Peter and William Post. 1999. Shiny Cowbird (Molothrus bonariensis), The Birds of North America Online (A. Poole, Ed.). Ithaca: Cornell Lab of Ornithology; Retrieved from the Birds of North America Online: http://bna.birds.cornell.edu/bna/species/399
doi:10.2173/bna.399"
79,Dolichonyx oryzivorus,,Dolichonyx,oryzivorus,Dolichonyx_oryzivorus,,Bobolink ,cup,Ground ,"""Mean inside diameter 9.1 cm (range 6.1–11.0, n = 15), inside depth 3.2 cm (1.8–4.4, n = 15) (SGM)""",1,1,,1,,,,,1,,Female,Both,Both,Polygynous,"Males black and white, with yellow behind head, females yellow and black","Martin, Stephen G. and Thomas A. Gavin. 1995. Bobolink (Dolichonyx oryzivorus), The Birds of North America Online (A. Poole, Ed.). Ithaca: Cornell Lab of Ornithology; Retrieved from the Birds of North America Online: http://bna.birds.cornell.edu/bna/species/176
doi:10.2173/bna.176"
80,Icterus abeillei,,Icterus,abeillei,Icterus_abeillei,"NA- no data, but very closely related to Icterus bullockii",Black-backed Oriole ,"*No data published, presumably similar to Icterus bullockii",,,NA,NA,1,NA,,,,,1,,,,,,Most likely similar to Icterus bullockii (once considered the same species),New World Blackbirds
81,Icterus auratus,,Icterus,auratus,Icterus_auratus,,Orange Oriole ,hanging basket,"low trees and shrubs, conspicuous (not hidden)",,1,0,0,0,x,x,,x,0,,,,,Not sure if polygynous or monogamous,"Females are duller than males, but still pretty damn colorful; can be solitary and colonial (most orioles not colonial)","New World Blackbirds: Howell and Webb 1995 (habitat, distribution), Howell et al. (habitat, nesting)"
82,Icterus auricapillus,,Icterus,auricapillus,Icterus_auricapillus,,Orange-crowned Oriole ,Hanging basket (short),secured to branch or palm frond,,1,0,1,0,x,x,,x,0,,,,,,,New World Blackbirds: Hilty and Brown 1986 (nesting)
83,Icterus bonana,,Icterus,bonana,Icterus_bonana,,Martinique Oriole ,Shallow hanging pouch,"hangs from banana or palm leaf (underside of leaf, woven through leaf)",,1,1,0,1,,,,,0,,,,,,,"New World Blackbirds: Babbs et al. 1987 (behaviour, nesting), "
84,Icterus bullockii,,Icterus,bullockii,Icterus_bullockii,,Bullock's Oriole ,Suspended pensile short),big variety of trees used,"""Nests vary in depth, ranging up to 38 cm deep (WFVZ), but averaging just under 10 cm deep""",1,1,1,1,,,,,1,,Female,Female,Both,Monogamous,Female is decently duller,"Rising, James D. and Pamela L. Williams. 1999. Bullock's Oriole (Icterus bullockii), The Birds of North America Online (A. Poole, Ed.). Ithaca: Cornell Lab of Ornithology; Retrieved from the Birds of North America Online: http://bna.birds.cornell.edu/bna/species/416
doi:10.2173/bna.416"
85,Icterus cayanensis,,Icterus,cayanensis,Icterus_cayanensis,"NA (if nothing, add info from crysocephalus, since subspecies)",Epaulet Oriole ,"Suspended basket, ""not as deep as other orioles, ofteb being more of a suspended cup or hammock, rather than a deeper basket."" Pendant.","Hung from large leaves, such as banana leaves or palm leaves",,1,1,0,1,,,,,0,,,,,,"Male slighly larger than female, solitary",New World Blackbirds.
86,Icterus chrysater,,Icterus,chrysater,Icterus_chrysater,,Yellow-backed Oriole ,"Shallow, bulky, hanging nest",Sheltered below cover of palm frond,13cm in lenghth,1,0,1,0,x,x,,x,0,,,,,Pair bond,Female slightly duller,"New World Blackbirds: Rand and Traylor 1954 (behavior), Smithe 1966 (nesting)"
87,Icterus chrysocephalus,lumped with cayanensis,Icterus,chrysocephalus,Icterus_chrysocephalus,lumped with cayanensis,Moriche Oriole ,Hanging basket nest,Beneath the palm frond of the Mauritia palm,"10 cm long, 7cm wide",1,0,1,0,x,x,,x,0,,,,,Pair bond,Male and female indestinguisble,"New World Blackbirds: Haverschmidt 1951 (habitat, nesting), Oniki and Willis 1983 (nesting)"
88,Icterus cucullatus,,Icterus,cucullatus,Icterus_cucullatus,,Hooded Oriole ,Pendulous basket,"wide range of places, depending on region",,1,1,1,1,,,,,1,,,,Both,Monogamous,,"New World Blackbirds: Bailey 1910 (nesting), Bent 1958 (behavior, nesting), Ewan 1944 (nesting), Grinnell 1944 (nesting), Huey 1944 (nesting), "
